Taxa de fecundidade;;;;
Sigla;Código;Município;1991;2000
BA;2912103;Ibicaraí;3,33;2,294
BA;2912202;Ibicoara;5,182;3,923
BA;2912301;Ibicuí;5,89;2,857
BA;2912400;Ibipeba;3,85;2,767
BA;2912509;Ibipitanga;4,347;2,689
BA;2912608;Ibiquera;4,262;3,492
BA;2912707;Ibirapitanga;4,984;3,773
BA;2912806;Ibirapuã;3,834;2,63
BA;2912905;Ibirataia;4,578;2,821
BA;2913002;Ibitiara;3,398;3,37
BA;2913101;Ibititá;4,219;3,086
BA;2913200;Ibotirama;5,138;3,32
BA;2913309;Ichu;3,617;2,523
BA;2913408;Igaporã;3,685;2,857
BA;2913457;Igrapiúna;5,67;4,097
BA;2913507;Iguaí;4,825;3,083
BA;2913606;Ilhéus;3,674;2,213
BA;2913705;Inhambupe;4,807;3,291
BA;2913804;Ipecaetá;3,934;2,726
BA;2913903;Ipiaú;3,361;2,256
BA;2914000;Ipirá;5,485;3,197
BA;2914109;Ipupiara;3,763;2,846
BA;2914208;Irajuba;5,825;3,384
BA;2914307;Iramaia;4,18;3,04
BA;2914406;Iraquara;3,991;2,807
BA;2914505;Irará;4,784;2,727
BA;2914604;Irecê;2,857;2,502
BA;2914653;Itabela;4,448;3,144
BA;2914703;Itaberaba;4,33;2,565
BA;2914802;Itabuna;2,998;2,21
BA;2914901;Itacaré;5,693;3,465
BA;2915007;Itaeté;4,198;4,05
BA;2915106;Itagi;4,649;3,365
BA;2915205;Itagibá;4,518;2,775
BA;2915304;Itagimirim;3,428;3,104
BA;2915353;Itaguaçu da Bahia;6,035;5,096
BA;2915403;Itaju do Colônia;4,559;2,701
BA;2915502;Itajuípe;3,804;2,468
BA;2915601;Itamaraju;3,658;2,629
BA;2915700;Itamari;5,392;3,206
BA;2915809;Itambé;4,472;2,763
BA;2915908;Itanagra;3,97;3,571
BA;2916005;Itanhém;3,194;2,378
BA;2916104;Itaparica;3,244;2,757
BA;2916203;Itapé;4,584;2,47
BA;2916302;Itapebi;6,037;3,206
BA;2916401;Itapetinga;3,576;2,34
BA;2916500;Itapicuru;5,592;3,935
BA;2916609;Itapitanga;4,06;2,367
BA;2916708;Itaquara;5,788;3,496
BA;2916807;Itarantim;4,009;2,337
BA;2916856;Itatim;5,381;3,279
BA;2916906;Itiruçu;4,561;2,729
BA;2917003;Itiúba;5,71;4,639
BA;2917102;Itororó;4,381;2,931
BA;2917201;Ituaçu;3,942;3,454
BA;2917300;Ituberá;4,165;3,414
BA;2917334;Iuiú;4,928;3,867
BA;2917359;Jaborandi;4,527;2,6
BA;2917409;Jacaraci;3,24;2,282
BA;2917508;Jacobina;3,222;2,181
BA;2917607;Jaguaquara;4,156;2,547
BA;2917706;Jaguarari;3,821;2,317
BA;2917805;Jaguaripe;4,459;3,502
BA;2917904;Jandaíra;5,292;4,956
BA;2918001;Jequié;3,198;2,356
BA;2918100;Jeremoabo;4,919;4,09
BA;2918209;Jiquiriçá;5,147;2,982
