Índice de Desenvolvimento Humano Municipal-ed 2003;;;;
Sigla;Código;Município;1991;2000
BA;2911907;Iaçu;0,456;0,592
BA;2912004;Ibiassucê;0,572;0,659
BA;2912103;Ibicaraí;0,548;0,634
BA;2912202;Ibicoara;0,508;0,632
BA;2912301;Ibicuí;0,536;0,625
BA;2912400;Ibipeba;0,515;0,628
BA;2912509;Ibipitanga;0,522;0,625
BA;2912608;Ibiquera;0,464;0,572
BA;2912707;Ibirapitanga;0,458;0,601
BA;2912806;Ibirapuã;0,57;0,673
BA;2912905;Ibirataia;0,537;0,642
BA;2913002;Ibitiara;0,534;0,656
BA;2913101;Ibititá;0,491;0,602
BA;2913200;Ibotirama;0,575;0,697
BA;2913309;Ichu;0,568;0,675
BA;2913408;Igaporã;0,54;0,655
BA;2913457;Igrapiúna;0,468;0,601
BA;2913507;Iguaí;0,501;0,618
BA;2913606;Ilhéus;0,61;0,703
BA;2913705;Inhambupe;0,481;0,567
BA;2913804;Ipecaetá;0,493;0,592
BA;2913903;Ipiaú;0,572;0,662
BA;2914000;Ipirá;0,523;0,609
BA;2914109;Ipupiara;0,589;0,67
BA;2914208;Irajuba;0,496;0,593
BA;2914307;Iramaia;0,495;0,63
BA;2914406;Iraquara;0,515;0,605
BA;2914505;Irará;0,518;0,647
BA;2914604;Irecê;0,596;0,666
BA;2914653;Itabela;0,524;0,637
BA;2914703;Itaberaba;0,527;0,638
BA;2914802;Itabuna;0,654;0,748
BA;2914901;Itacaré;0,472;0,588
BA;2915007;Itaeté;0,452;0,582
BA;2915106;Itagi;0,472;0,586
BA;2915205;Itagibá;0,5;0,615
BA;2915304;Itagimirim;0,509;0,633
BA;2915353;Itaguaçu da Bahia;0,442;0,586
BA;2915403;Itaju do Colônia;0,483;0,618
BA;2915502;Itajuípe;0,545;0,648
BA;2915601;Itamaraju;0,556;0,65
BA;2915700;Itamari;0,495;0,635
BA;2915809;Itambé;0,516;0,608
BA;2915908;Itanagra;0,471;0,603
BA;2916005;Itanhém;0,574;0,673
BA;2916104;Itaparica;0,624;0,712
BA;2916203;Itapé;0,516;0,653
BA;2916302;Itapebi;0,505;0,636
BA;2916401;Itapetinga;0,614;0,7
BA;2916500;Itapicuru;0,419;0,521
BA;2916609;Itapitanga;0,528;0,608
BA;2916708;Itaquara;0,458;0,586
BA;2916807;Itarantim;0,528;0,659
BA;2916856;Itatim;0,515;0,635
BA;2916906;Itiruçu;0,54;0,654
BA;2917003;Itiúba;0,466;0,574
BA;2917102;Itororó;0,528;0,625
BA;2917201;Ituaçu;0,492;0,619
BA;2917300;Ituberá;0,499;0,62
BA;2917334;Iuiú;0,497;0,611
BA;2917359;Jaborandi;0,509;0,617
BA;2917409;Jacaraci;0,54;0,654
BA;2917508;Jacobina;0,541;0,652
BA;2917607;Jaguaquara;0,545;0,647
BA;2917706;Jaguarari;0,548;0,646
BA;2917805;Jaguaripe;0,511;0,604
BA;2917904;Jandaíra;0,459;0,575
BA;2918001;Jequié;0,603;0,694
BA;2918100;Jeremoabo;0,455;0,557
BA;2918209;Jiquiriçá;0,515;0,633
BA;2918308;Jitaúna;0,492;0,619
BA;2918357;João Dourado;0,472;0,596
BA;2918407;Juazeiro;0,589;0,683
BA;2918456;Jucuruçu;0,448;0,583
BA;2918506;Jussara;0,469;0,568
BA;2918555;Jussari;0,522;0,647
BA;2918605;Jussiape;0,592;0,66
BA;2918704;Lafaiete Coutinho;0,493;0,607
BA;2918753;Lagoa Real;0,5;0,605
BA;2918803;Laje;0,524;0,654
